model,planned_debates,full_reference_debates,full_reference_self_panel_shift,debates,groups,topics,opponents,self_margin,self_margin_lo,self_margin_hi,panel_self_margin,panel_self_margin_lo,panel_self_margin_hi,self_panel_shift,self_panel_shift_lo,self_panel_shift_hi,order_a_advantage,order_a_advantage_lo,order_a_advantage_hi,order_margin_range,order_margin_range_lo,order_margin_range_hi,self_win,self_win_lo,self_win_hi,self_tie,self_tie_lo,self_tie_hi,opponent_win,opponent_win_lo,opponent_win_hi,panel_win,panel_win_lo,panel_win_hi,panel_agreement,panel_agreement_lo,panel_agreement_hi,order_decisive_flip,order_decisive_flip_lo,order_decisive_flip_hi,order_outcome_changed,order_outcome_changed_lo,order_outcome_changed_hi,loss_ack,loss_ack_lo,loss_ack_hi,robust_loss_ack,robust_loss_ack_lo,robust_loss_ack_hi,self_win_count,self_tie_count,opponent_win_count,panel_loss_count,panel_agreement_count,both_orders_opponent_win_count,order_decisive_flip_count,order_outcome_changed_count,loss_ack_count,robust_loss_ack_count,equal_opponent_self_panel_shift,pro_self_margin,con_self_margin
claude-fable-5-1-high,128,128,0.023437499999999965,128,64,63,7,0.9312499999999999,0.7757191051136363,1.0855609809027775,0.9078124999999999,0.756790956439394,1.0515895750661375,0.023437499999999965,-0.12872265624999998,0.1777810846560846,-0.12421875,-0.17923076923076922,-0.07380952380952381,0.390625,0.30538257575757577,0.48828125,0.765625,0.7045454545454546,0.828125,0.0859375,0.046153846153846156,0.1328125,0.1484375,0.09230769230769231,0.20634920634920634,0.7265625,0.6537878787878788,0.796875,0.75,0.6796875,0.8203125,0.0859375,0.046153846153846156,0.1328125,0.0859375,0.046153846153846156,0.1328125,0.5714285714285714,0.2939075630252101,0.8461538461538461,0.5714285714285714,0.2939075630252101,0.8461538461538461,98,11,19,14,96,19,11,11,8,8,0.03583541458541458,1.23203125,0.6304687499999999
claude-opus-5-high,116,116,-0.034482758620689655,116,58,56,7,0.5991379310344828,0.4122718804792519,0.790796522556391,0.6336206896551724,0.41440375302663446,0.8664162561576353,-0.034482758620689655,-0.20640183615819213,0.11960434941520458,-0.1767241379310345,-0.24407026836158197,-0.11315733719892954,0.43793103448275866,0.3278483606557377,0.5596621320249776,0.6293103448275862,0.5344827586206896,0.7241379310344828,0.14655172413793102,0.08620689655172414,0.21551724137931033,0.22413793103448276,0.15789473684210525,0.29310344827586204,0.6379310344827587,0.5446232769423558,0.7321428571428571,0.7327586206896551,0.6610169491525424,0.8017241379310345,0.14655172413793102,0.08620689655172414,0.21551724137931033,0.14655172413793102,0.08620689655172414,0.21551724137931033,0.6956521739130435,0.5238095238095238,0.8636363636363636,0.6956521739130435,0.5238095238095238,0.8636363636363636,73,17,26,23,85,26,17,17,16,16,-0.06483134920634918,0.7275862068965516,0.47068965517241373
kimi-k3,100,100,0.2631666666666666,100,50,49,7,0.5035000000000001,0.2540795918367347,0.7455104591836733,0.24033333333333334,-0.02419509803921572,0.5110056122448978,0.2631666666666666,0.09964753401360545,0.4205804421768707,-0.2835,-0.39591836734693875,-0.17601940776310526,0.7649999999999999,0.5810000000000001,0.949122222222222,0.56,0.46224600870827287,0.6530612244897959,0.21,0.14,0.28,0.23,0.15306122448979592,0.3163265306122449,0.52,0.4182855217558722,0.6224489795918368,0.72,0.6469881221719458,0.79,0.21,0.14,0.28,0.21,0.14,0.28,0.5675675675675675,0.42105263157894735,0.7105263157894737,0.5675675675675675,0.42105263157894735,0.7105263157894737,56,21,23,37,72,23,21,21,21,21,0.20233974358974355,0.6919999999999998,0.31500000000000006
glm-5-3-high,80,78,-0.04786324786324783,80,40,40,7,-0.29500000000000004,-0.52565625,-0.04807812500000023,-0.2727083333333334,-0.5358333333333334,0.002124999999999765,-0.022291666666666654,-0.2333906249999999,0.18375520833333334,-0.35374999999999995,-0.4643906250000001,-0.24499999999999997,0.8,0.605,1.00125,0.2375,0.15,0.3375,0.2875,0.1875,0.3875,0.475,0.3625,0.5878124999999983,0.275,0.175,0.375,0.5375,0.4375,0.6375,0.2875,0.1875,0.3875,0.2875,0.1875,0.3875,0.5681818181818182,0.4,0.7209302325581395,0.5681818181818182,0.4,0.7209302325581395,19,23,38,44,43,38,23,23,25,25,-0.03209750566893422,-0.12625000000000003,-0.46375
gpt-6-astra-high,126,126,2.328835978835979,126,63,63,7,1.9825396825396822,1.8916666666666666,2.0670932539682534,-0.34629629629629627,-0.5870436507936507,-0.12111772486772511,2.328835978835979,2.1251190476190476,2.536147486772486,-0.1793650793650793,-0.22064484126984124,-0.14444444444444446,0.3714285714285713,0.3015873015873016,0.45476190476190476,0.9682539682539683,0.9365079365079365,0.9920634920634921,0.023809523809523808,0.0,0.05555555555555555,0.007936507936507936,0.0,0.023809523809523808,0.2777777777777778,0.1984126984126984,0.35714285714285715,0.2857142857142857,0.20634920634920634,0.3652777777777767,0.03968253968253968,0.007936507936507936,0.07936507936507936,0.03968253968253968,0.007936507936507936,0.07936507936507936,0.014492753623188406,0.0,0.046171874999999904,0.014492753623188406,0.0,0.046171874999999904,122,3,1,69,36,1,5,5,1,1,2.5225847069597065,1.9634920634920638,2.001587301587302
grok-4.6-high,134,134,0.3203980099502488,134,67,65,7,-0.11716417910447761,-0.32755805335968385,0.07726679104477593,-0.4375621890547264,-0.6301261655011654,-0.24043655731523378,0.3203980099502488,0.1619394714407502,0.47706591415830535,0.15447761194029852,0.06893019480519481,0.2526235648679678,0.6014925373134328,0.4484431818181818,0.7666847826086957,0.3582089552238806,0.27692307692307694,0.43283582089552236,0.20149253731343283,0.1323529411764706,0.27279314888010503,0.44029850746268656,0.3560606060606061,0.529862053369516,0.26865671641791045,0.19696969696969696,0.34095779220779193,0.582089552238806,0.49242424242424243,0.671698572355613,0.20149253731343283,0.1323529411764706,0.27279314888010503,0.20149253731343283,0.1323529411764706,0.27279314888010503,0.6438356164383562,0.5217391304347826,0.7530864197530864,0.6438356164383562,0.5217391304347826,0.7530864197530864,48,27,59,73,78,59,27,27,47,47,0.32884601509601513,-0.5432835820895522,0.308955223880597
muse-spark-1.3-high,112,110,0.22181818181818178,112,56,56,7,-0.09732142857142859,-0.3433258928571429,0.15,-0.3209821428571429,-0.521298363095238,-0.13432663690476213,0.22366071428571427,-0.021629464285714294,0.47190476190476166,-0.11964285714285715,-0.2509151785714286,0.003571428571428575,0.7053571428571429,0.48837053571428574,0.927723214285714,0.36607142857142855,0.2857142857142857,0.45535714285714285,0.21428571428571427,0.13392857142857142,0.29464285714285715,0.41964285714285715,0.32142857142857145,0.5178571428571429,0.30357142857142855,0.23214285714285715,0.36629464285714164,0.5089285714285714,0.4107142857142857,0.6071428571428571,0.21428571428571427,0.13392857142857142,0.29464285714285715,0.21428571428571427,0.13392857142857142,0.29464285714285715,0.5961538461538461,0.45098039215686275,0.7369210526315785,0.5961538461538461,0.45098039215686275,0.7369210526315785,41,24,47,52,57,47,24,24,31,31,0.34375,-0.10357142857142856,-0.09107142857142857
claude-sonnet-5-high,104,104,0.2259615384615385,104,52,50,7,-0.29038461538461535,-0.5273716436865021,-0.049504036647315064,-0.5163461538461539,-0.7551022012578616,-0.2789961538461539,0.2259615384615385,0.024006617647058845,0.43240550919206566,0.04711538461538456,-0.07116586538461539,0.17200288461538457,0.9653846153846154,0.7254166666666666,1.2098088235294118,0.28846153846153844,0.21568627450980393,0.3627450980392157,0.25961538461538464,0.17647058823529413,0.3462264150943392,0.4519230769230769,0.3627450980392157,0.5377358490566038,0.25,0.17265909090909093,0.3269230769230769,0.6057692307692307,0.5,0.7075471698113207,0.2692307692307692,0.18624727668845317,0.3557692307692308,0.2692307692307692,0.18624727668845317,0.3557692307692308,0.6666666666666666,0.5396520146520146,0.7818181818181819,0.65,0.525402889691581,0.765625,30,27,47,60,63,46,28,28,40,39,0.26782738095238096,-0.7615384615384616,0.18076923076923082
